image_id,width,height,label,xmin,ymin,xmax,ymax
n12761284_9245.png,375,500,mango,138,224,186,272
Gatton2_test_20150429T1651_pic000009.png,1296,964,capsicum,792,342,940,680
n12761284_8587.png,500,333,mango,162,38,261,195
n12761284_16940.png,333,500,mango,256,367,288,400
Dalat_Strawberry_garden.png,602,448,strawberry,455,240,531,362
Stanthorpe1_train_20150319T1824_pic000328.png,1296,964,capsicum,558,452,1100,580
FARstevenson_6.png,620,465,strawberry,76,154,154,248
Dalat_Strawberry_garden.png,602,448,strawberry,137,141,180,202
n12761284_12973.png,500,375,mango,216,195,243,230
n12761284_9138.png,500,375,mango,479,123,500,167
n12761284_7578.png,365,500,mango,176,379,224,436
n12761284_8383.png,500,333,mango,158,19,212,78
Stanthorpe1_valid_20150319T1821_pic000559.png,1296,964,capsicum,62,442,202,592
fruit_apple_apple-tree_wallpaper_ea60142.png,1024,768,apple,882,516,1019,723
n12761284_1119.png,500,375,mango,238,87,352,210
apple-tree-1262424_960_720.png,960,637,apple,410,123,705,296
Gatton2_train_20150429T1519_pic000219.png,1296,964,capsicum,284,316,962,482
Gatton1_train_20141204T1614_frame0003.png,1296,964,capsicum,1004,414,1180,468
n12761284_8819.png,800,533,mango,461,163,579,284
n12761284_9138.png,500,375,mango,253,126,283,163
n11706761_9724.png,375,500,avocado,177,272,239,352
2844-960x960.png,800,800,apple,8,548,152,767
n12761284_3963.png,500,333,mango,229,83,253,110
strawberries.png,1024,768,strawberry,220,383,353,509
Gatton1_valid_20141204T1614_frame0014.png,1296,964,capsicum,142,434,349,958
Gatton2_test_20150429T1544_pic000199.png,1296,964,capsicum,1086,390,1192,622
Stanthorpe1_test_20150319T1831_pic000262.png,1296,964,capsicum,542,630,672,754
n12761284_9245.png,375,500,mango,266,347,307,406
Fresh-ripe-apples-on-tree-in-Kasauli.png,600,450,apple,311,319,375,383
n12761284_3963.png,500,333,mango,154,309,180,328
n12761284_9245.png,375,500,mango,321,283,364,331
n12761284_1656.png,1024,768,mango,257,397,373,540
fruit_apple_apple-tree_wallpaper_ea60142.png,1024,768,apple,338,284,577,536
n12761284_17747.png,500,375,mango,261,142,360,276
